session_id	gender	pitch_variant	vowel	f0	f1	f2	f3	sr	log_f1_sr	log_f2_f1	log_f3_f2
1146	f	n	i	242.5162121063	272.7437317179	2791.9731597007	3672.6775879117	189.8685847542	0.157301665	1.0101564607	0.1190715658
1146	f	n	u	240.7053495542	308.0416030618	718.2216114348	3013.8402801554	189.3948222585	0.2112412729	0.3676490942	0.622861764
1147	f	n	a	199.3113110432	710.9716197008	1301.1595548454	2633.3582387686	177.8484849074	0.6018020953	0.2624782902	0.3061793888
1147	f	n	i	251.2373108905	299.9893930707	2530.4317697485	3272.6532779416	192.1177831143	0.1935383328	0.9260887322	0.1117053648
1147	f	n	u	242.3806762487	280.669310902	693.1205793569	2501.3755124703	189.8332073296	0.1698227429	0.3926138653	0.5573701003
1148	f	n	a	256.0300458618	846.3984033309	1419.3701405786	2680.4404386612	193.3317427498	0.6412716696	0.2245208293	0.2761104966
1148	f	n	i	256.5241922675	280.6965930728	2569.7490439141	3315.8195513031	193.4560416902	0.161654844	0.9616535717	0.1107001748
1148	f	n	u	258.0146295568	358.1861471462	817.3342246395	2514.4741184655	193.8299862455	0.2666878206	0.3582908992	0.4880474851
1149	f	n	a	254.8666147267	935.1777575334	1303.728252709	2468.5988224896	193.0384572085	0.685250331	0.1442929082	0.2772634404
1149	f	n	i	273.3525408601	456.1240455528	2686.1740063228	3093.4042419378	197.5970968443	0.3633024081	0.7700511746	0.0613025345
1149	f	n	u	270.8376246907	297.1228004102	803.5275548145	2389.5279429434	196.9892469181	0.1784934598	0.4320647946	0.4733113392
115	f	n	a	224.793090141	663.2718704961	1353.036397751	2912.2020715031	185.1258960555	0.5542244055	0.3096179005	0.3329120268
115	f	n	i	224.0492356482	312.0564503251	2678.4647853892	3417.3403389051	184.9214726563	0.2272458207	0.9336527769	0.1058022922
115	f	n	u	224.220532304	351.5439640258	748.1560256187	2661.6485556913	184.9685878368	0.2788816646	0.3280125325	0.5511585326
1150	f	n	a	234.315887106	794.6951318286	1320.8050177829	2417.5731184841	187.7039591308	0.6267271196	0.2206381575	0.2625409079
1150	f	n	i	252.2180163068	313.023502777	2511.7486163432	3397.5190031333	192.3674359569	0.2114453906	0.9043992247	0.1311857228
1150	f	n	u	252.9810555289	449.9191250989	834.5008614769	2525.0282284986	192.5612314235	0.3685655999	0.2682923349	0.4808394483
1151	f	n	a	244.2757808879	829.3018056079	1210.2843601436	3016.9823517495	190.3266738404	0.639212953	0.1641748102	0.3966853485
1151	f	n	i	282.1289427354	291.9160690057	2784.7906326208	3167.8105177754	199.6895791083	0.1649026005	0.9795345473	0.055966647
1151	f	n	u	243.9880808075	340.7457898154	816.864927144	2689.0686701418	190.2519242954	0.2531014404	0.3797197511	0.5174516432
116	f	n	a	198.7367566262	832.8621619404	1153.4613619802	2790.3051963263	177.6774259113	0.6709408782	0.1414299194	0.3836486565
116	f	n	i	200.2611383961	223.4883967008	2793.4576940895	3419.733476079	178.1305523967	0.0985165652	1.0968871186	0.0878501612
116	f	n	u	200.8169909686	352.1660758968	883.7556967714	2329.6680684552	178.2952088352	0.2956078452	0.3995847082	0.4209618208
1167	f	n	a	209.0855574906	756.2159353104	1317.7198503254	2949.9682987212	180.7094508688	0.6216649586	0.2411772635	0.3499942607
1167	f	n	i	224.6455154014	363.2181150466	2729.164146036	3335.4061273568	185.0853759984	0.2927953947	0.8758621569	0.0871190651
1167	f	n	u	216.5454677631	370.4979429674	689.4288796497	2525.2353201719	182.8335480908	0.3067299138	0.2697036706	0.5638123834
1168	f	n	a	238.7355799472	734.2144776144	1451.566444712	2872.6735414018	188.8767802458	0.5896443731	0.2960139763	0.2964493541
1168	f	n	i	242.9312420686	451.6410841787	2670.1953563733	3272.3308980366	189.9768335203	0.3760927966	0.771749595	0.0883141768
1168	f	n	u	242.6968391059	459.4533070002	1025.0445193798	2705.9672706703	189.9157113381	0.3836804873	0.3485013461	0.4215798115
1169	f	n	a	265.4559239517	950.7801200998	1572.7017267028	2973.7274497109	195.6757445548	0.6865430975	0.2185662711	0.2766547981
1169	f	n	i	275.796655132	313.0778056644	2135.7090118636	3447.8504716552	198.1842721677	0.1985830952	0.833889799	0.2080063426
1169	f	n	u	286.4078055164	305.6404760451	865.4129634275	2474.5765139594	200.6940379614	0.1826763964	0.452012529	0.4562774903
117	f	n	a	229.179553544	663.0720875557	1345.5189693045	2463.736489058	186.3222889563	0.5512959356	0.3073290785	0.2627044308
117	f	n	i	228.2941834402	285.5390027039	2328.7665114216	3048.5874067867	186.0820449065	0.1859609683	0.9114605088	0.1169727041
117	f	n	u	229.8156238612	293.7126175422	687.205054116	2454.034286789	186.4945041504	0.1972565657	0.3691637412	0.5527942813
1170	f	n	a	267.9097826767	861.9687675766	1356.3470064282	2319.1255543922	196.2768344986	0.6426224848	0.1968792832	0.2329534482
1170	f	n	i	282.9529857208	372.6182640135	2591.5198371842	3177.2305400316	199.8838080851	0.2704865234	0.8422903994	0.0884941908
1170	f	n	u	276.6399780088	439.7840777215	834.3890946605	2346.5604177188	198.3860673	0.3457283335	0.2781291175	0.4490631213
1171	f	n	a	209.8715998526	695.5371444401	1373.7444301548	2756.2022745873	180.9356224786	0.5847962491	0.2955856166	0.3024051422
1171	f	n	i	188.5270550507	417.1998759876	2535.9463559339	3392.3838843366	174.5811764168	0.378346755	0.7837958918	0.1263649289
1171	f	n	u	216.4545198003	368.4181913654	834.0211294378	2656.3899589821	182.8079481288	0.3043459921	0.3548359872	0.5031147766
1172	f	n	a	245.1876567446	478.1878441973	1162.9689160503	2913.7065883082	190.5632081198	0.3995594764	0.3859695751	0.3988777089
1172	f	n	i	248.1971479141	289.6646156063	2731.8220991778	3412.7569124893	191.3397123321	0.1800903299	0.9745569674	0.096652941
1172	f	n	u	246.3182744636	396.9433165589	699.7391495447	3003.6688656105	190.8556695736	0.3180234283	0.2462076788	0.6327158801
1174	f	n	a	239.0580445338	828.6715223228	1208.2536435907	2897.0092690299	188.9617817792	0.642008439	0.1637756991	0.3797917713
1174	f	n	i	239.6026740209	407.9379132005	2641.2516983376	3296.1300930848	189.1051724819	0.3338906619	0.8112157194	0.096194555
1174	f	n	u	251.4570683209	414.2889070228	829.7638885204	2865.8751402979	192.173781971	0.3336091677	0.3016512255	0.5383027349
1175	f	n	a	236.1703159333	875.5886321563	1399.6272897164	3091.3964018286	188.1978356985	0.6676854898	0.2037122873	0.3441422954
1175	f	n	i	235.4964240035	323.5023118738	2539.7392297046	3147.2464278133	188.0186629944	0.2356764286	0.8949117386	0.093141622
1175	f	n	u	239.3005550037	336.9620043738	702.5155350043	2670.6282046346	189.025657094	0.2510601764	0.3190749996	0.5799574989
1176	f	n	a	218.7291672122	885.744736228	1508.5718681013	2652.2179290477	183.4460736925	0.6838001591	0.2312574246	0.2450432019
1176	f	n	i	217.7690149343	371.4743981107	2898.8719318227	3537.0870174629	183.1772564368	0.3070573377	0.8923001415	0.086416715
1176	f	n	u	191.2115576001	353.3961219129	822.5039646092	2862.5683768203	175.4059149082	0.3042175451	0.3668762207	0.5416178693
1177	f	n	a	106.6119643796	676.6670515901	1112.1038336842	2465.2808801686	144.3692952125	0.6709001939	0.2157703076	0.3457210696
1177	f	n	i	216.4566755071	370.3295205671	2656.8988897421	3388.9297016378	182.8085549984	0.3065918171	0.8557866944	0.1056875328
1177	f	n	u	216.360917228	358.4529138711	518.1674898392	2660.7137970286	182.7815934604	0.292499656	0.1600380465	0.7105280001
1178	f	n	a	220.6080216568	569.8225505642	1481.0080253737	2672.3497454727	183.969835982	0.4909930112	0.4148177796	0.2563358842
1178	f	n	i	236.5793868736	257.1033874916	2752.2973133271	3356.4584234112	188.3064322689	0.1352426436	1.0295875474	0.0861859257
1178	f	n	u	230.6840987784	297.8912100204	723.815783402	2856.5946003487	186.7291302103	0.2028456143	0.3855703605	0.5962205619
1179	f	n	a	218.529500489	887.9086304364	1503.5288411271	2807.0085133293	183.3902371712	0.6849920652	0.2287434859	0.2711319665
1179	f	n	i	278.0343901975	291.4195110944	2531.7889386651	3228.741528271	198.7188324808	0.1662795983	0.9389088729	0.1056057816
1179	f	n	u	264.2504806569	309.5144684619	947.2297702739	2668.1999312752	195.3791052807	0.1998028388	0.4857743837	0.4497630297
1180	f	n	a	220.8194051891	635.0861790643	1200.0741822827	2478.0569730073	184.0285763357	0.5379473952	0.2763754311	0.3149031943
1180	f	n	i	226.9858974569	282.0752042648	2587.5802563144	3396.0319026264	185.7259034617	0.1814924317	0.9625289174	0.1180779327
1180	f	n	u	226.851920306	360.9050867029	651.6597671416	2621.2631288142	185.6893550462	0.2886059954	0.2566279057	0.6044897098
1182	f	n	a	189.1012781441	798.8845450204	1331.2664182432	2882.4016324696	174.7582454935	0.6600463436	0.2217809574	0.3354895182
1182	f	n	i	258.9825781629	275.5315345173	2731.1175162682	3278.7005365157	194.0720698511	0.1522082731	0.9961690767	0.0793613641
1182	f	n	u	235.3599164263	344.895532721	840.8003026346	2810.8121275985	187.9823270811	0.2635705476	0.3870052902	0.5241389593
1184	f	n	a	271.0369442292	830.1296019603	1438.0223873297	2618.0000530794	197.0375589869	0.6245968823	0.2386197464	0.2602040038
1184	f	n	i	276.2065053706	290.2867869336	2485.1401223114	3321.0281204564	198.282394785	0.1655431129	0.9325236127	0.1259216719
1184	f	n	u	271.5555028602	344.3678473572	840.0143834875	2542.8204379722	197.1631389568	0.2421968721	0.3872641267	0.4810289709
1185	f	n	a	191.3016343011	556.667435123	1169.9125195393	2611.6970287396	175.4334542229	0.5014834014	0.3225575725	0.3487694065
1185	f	n	i	193.9573325297	315.0141065829	2496.3902979902	3207.9508662119	176.2415304034	0.2522217469	0.8989824838	0.1089152218
1185	f	n	u	194.8181731824	341.7616013869	750.1571773954	2888.3554087261	176.5018831494	0.2869739226	0.3414290029	0.5854983627
12	f	n	a	220.9199495189	620.2157120342	1447.2083029663	2021.2325026641	184.0565029609	0.5275915978	0.3679882814	0.1450852278
